GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.controller,DegradeController,440,0,58,0,110,0,35,0,6,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.controller,FlowControllerV1,591,0,110,0,132,0,62,0,7,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.controller,AuthorityRuleController,374,0,48,0,93,0,31,0,7,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.controller,AuthController,74,0,12,0,15,0,10,0,4,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.controller,AppController,74,0,6,0,17,0,8,0,5,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.controller,ParamFlowRuleController,601,0,62,0,131,0,44,0,13,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.controller,DemoController,83,0,4,0,22,0,7,0,5,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.controller,ResourceController,92,0,16,0,23,0,12,0,4,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.domain.cluster.state,ClusterUniversalStateVO,49,0,0,0,11,0,8,0,8,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.domain.cluster.state,ClusterStateSimpleEntity,62,0,0,0,14,0,10,0,10,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.domain.cluster.state,ClusterClientStateVO,23,0,0,0,5,0,4,0,4,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.domain.cluster.state,ClusterUniversalStatePairVO,63,0,0,0,16,0,9,0,9,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.domain.cluster.state,AppClusterServerStateWrapVO,89,0,0,0,20,0,14,0,14,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.domain.cluster.state,ClusterServerStateVO,116,0,0,0,26,0,18,0,18,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.domain.cluster.state,AppClusterClientStateWrapVO,66,0,0,0,14,0,10,0,10,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.domain.cluster.state,ClusterRequestLimitVO,51,0,0,0,11,0,8,0,8,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.repository.metric,InMemoryMetricsRepository,43,226,13,19,16,48,13,12,2,7
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.client,SentinelApiClient.new FutureCallback() {...},94,0,4,0,18,0,6,0,4,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.client,SentinelApiClient.new DefaultRedirectStrategy() {...},8,0,0,0,2,0,2,0,2,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.client,CommandNotFoundException,9,0,0,0,4,0,3,0,3,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.client,CommandFailedException,9,0,0,0,4,0,3,0,3,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.client,SentinelApiClient,1558,14,142,0,318,3,137,1,66,1
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.domain.cluster,ClusterGroupEntity,84,0,0,0,18,0,12,0,12,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.domain.cluster,ClusterAppAssignResultVO,49,0,0,0,11,0,8,0,8,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.domain.cluster,ClusterStateSingleVO,53,0,0,0,11,0,8,0,8,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.domain.cluster,ConnectionGroupVO,51,0,0,0,11,0,8,0,8,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.domain.cluster,ClusterClientInfoVO,64,0,0,0,14,0,10,0,10,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.domain.cluster,ConnectionDescriptorVO,40,0,0,0,8,0,6,0,6,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.domain.cluster,ClusterAppSingleServerAssignRequest,36,0,0,0,8,0,6,0,6,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.domain.cluster,ClusterAppFullAssignRequest,36,0,0,0,8,0,6,0,6,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.util,VersionUtils,5,105,1,17,3,27,1,9,0,1
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.util,MachineUtils,59,0,10,0,16,0,7,0,2,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.util,AsyncUtils,73,0,6,0,18,0,11,0,8,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.util,ClusterEntityUtils,446,0,44,0,86,0,31,0,9,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.controller.v2,FlowControllerV2,456,0,70,0,108,0,42,0,7,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.rule,FlowRuleApiProvider,53,0,4,0,11,0,5,0,3,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.rule,FlowRuleApiPublisher,43,0,8,0,12,0,6,0,2,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.domain,Result,85,45,0,0,14,17,4,10,4,10
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.domain,ResourceTreeNode,295,0,18,0,92,0,46,0,37,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.rule.nacos.params,ParamFlowRuleNacosPublisher,32,0,2,0,6,0,3,0,2,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.rule.nacos.params,ParamFlowRuleNacosProvider,35,0,2,0,5,0,3,0,2,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.metric,MetricFetcher,736,0,42,0,163,0,36,0,15,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.metric,MetricFetcher.new DefaultRedirectStrategy() {...},8,0,0,0,2,0,2,0,2,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.metric,MetricFetcher.new HashSet() {...},15,0,0,0,5,0,1,0,1,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.metric,MetricFetcher.new FutureCallback() {...},114,0,4,0,20,0,6,0,4,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.controller.cluster,ClusterAssignController,146,0,20,0,29,0,14,0,4,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.controller.cluster,ClusterConfigController,452,0,43,0,104,0,36,0,14,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.repository.rule,InMemDegradeRuleStore,12,0,0,0,3,0,3,0,3,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.repository.rule,InMemoryRuleRepositoryAdapter,6,211,5,11,2,44,5,14,0,11
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.repository.rule,InMemSystemRuleStore,12,0,0,0,3,0,3,0,3,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.repository.rule,InMemFlowRuleStore,37,0,6,0,10,0,7,0,4,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.repository.rule,InMemAuthorityRuleStore,12,0,0,0,3,0,3,0,3,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.repository.rule,InMemParamFlowRuleStore,33,0,6,0,9,0,7,0,4,0
